Longitud (m);Ancho de Puente (m);Sep Vigas Longitudinales (m);N° Paneles;Altura (m);Disposicion de Arriostre;Forma de Arriostre;Dim. Arriostre;Forma de Cordones;Dimension de Cordon Sup/Inf;Forma de Diagonales;Dim. Diag. S/I;Forma de Montante;Dim. Montante;Peso total (ton)
55;11.6;2.1;6;5.5;Cruz;T;150x150x12.5;Cajon HSS;400x410x19.0;Cajon HSS;380x390x16.0;Cajon HSS;200x200x12.5;119
55;11.6;2.1;6;5.5;Cruz;L;150x150x12.5;Cajon HSS;410x420x19.0;Cajon HSS;390x400x16.0;Cajon HSS;200x200x12.5;122.18
55;11.6;2.1;6;5.6;Cruz;T;150x150x12.5;Cajon HSS;420x430x19.0;Cajon HSS;400x410x16.0;Cajon HSS;200x200x12.5;125.46
55;11.6;2.1;6;5.6;Cruz;L;150x150x12.5;Cajon HSS;430x400x19.0;Cajon HSS;410x380x16.0;Cajon HSS;200x200x12.5;122.27
55;11.6;2.1;6;5.7;Cruz;T;150x150x12.5;Cajon HSS;400x410x19.0;Cajon HSS;380x390x16.0;Cajon HSS;200x200x12.5;119.17
55;11.6;2.1;6;5.7;Cruz;L;150x150x12.5;Cajon HSS;410x420x19.0;Cajon HSS;390x400x16.0;Cajon HSS;200x200x12.5;122.36
55;11.6;2.1;6;5.8;Cruz;T;150x150x12.5;Cajon HSS;420x430x19.0;Cajon HSS;400x410x16.0;Cajon HSS;200x200x12.5;125.64
55;11.6;2.1;6;5.8;Cruz;L;150x150x12.5;Cajon HSS;430x400x19.0;Cajon HSS;410x380x16.0;Cajon HSS;200x200x12.5;122.45
55;11.6;2.1;6;5.9;Cruz;T;150x150x12.5;Cajon HSS;400x410x19.0;Cajon HSS;380x390x16.0;Cajon HSS;200x200x12.5;119.35
55;11.6;2.1;6;5.9;Cruz;L;150x150x12.5;Cajon HSS;410x420x19.0;Cajon HSS;390x400x16.0;Cajon HSS;200x200x12.5;122.54
55;11.6;2.1;6;6;Cruz;T;150x150x12.5;Cajon HSS;420x430x19.0;Cajon HSS;400x410x16.0;Cajon HSS;200x200x12.5;125.82
55;11.6;2.1;6;6;Cruz;L;150x150x12.5;Cajon HSS;430x400x19.0;Cajon HSS;410x380x16.0;Cajon HSS;200x200x12.5;122.63
55;11.6;2.1;6;6.1;Cruz;T;150x150x12.5;Cajon HSS;400x410x19.0;Cajon HSS;380x390x16.0;Cajon HSS;200x200x12.5;119.52
55;11.6;2.1;6;6.1;Cruz;L;150x150x12.5;Cajon HSS;410x420x19.0;Cajon HSS;390x400x16.0;Cajon HSS;200x200x12.5;122.72
55;11.6;2.1;6;6.2;Cruz;T;150x150x12.5;Cajon HSS;420x430x19.0;Cajon HSS;400x410x16.0;Cajon HSS;200x200x12.5;126
55;11.6;2.1;6;6.2;Cruz;L;150x150x12.5;Cajon HSS;430x400x19.0;Cajon HSS;410x380x16.0;Cajon HSS;200x200x12.5;122.81
