experiment,iteration,pobj,p,gray_level,problem_type,criterion,pmax
0,1,0.18712924647906815,1.085528956547128,0.3610558275914783,0,0,2
0,2,0.16857968866890558,1.1779335419231827,0.35714119973232455,0,0,2
0,3,0.15485709862958397,1.2783344075438698,0.35821177786411634,0,0,2
0,4,0.14918280844791065,1.3868646734955548,0.35497249604045045,0,0,2
0,5,0.1423549283254432,1.5041232251957064,0.35158358935923334,0,0,2
0,6,0.13407218139096236,1.6311472784825185,0.35062755531296524,0,0,2
0,7,0.12522761088000994,1.7691165988774074,0.3519206072414769,0,0,2
0,8,0.11667185334331713,1.9189771694568747,0.35313021863288263,0,0,2
0,9,0.10855356500071009,2.0,0.3531901887525262,0,0,2
0,10,0.10535101669021765,2.0,0.34662605990032286,0,0,2
0,11,0.10660960903148729,2.0,0.3364961774494976,0,0,2
0,12,0.10757616842539554,2.0,0.3277000194784072,0,0,2
0,13,0.10840087960457918,2.0,0.32050250051486956,0,0,2
0,14,0.10910642198629299,2.0,0.3152740493253575,0,0,2
0,15,0.10961396091248618,2.0,0.31044866236451657,0,0,2
0,16,0.11020433878188636,2.0,0.30464595756455487,0,0,2
0,17,0.11087775737832023,2.0,0.29875565409850524,0,0,2
0,18,0.11148311832023149,2.0,0.29518427105893075,0,0,2
0,19,0.11180504392778237,2.0,0.2931420675624098,0,0,2
1,1,0.18677484581248002,1.085634294048521,0.36207390603136486,0,0,2
1,2,0.16889924173504994,1.1779183594827867,0.355987887786839,0,0,2
1,3,0.15411775964480598,1.278000167553786,0.3556033442099234,0,0,2
1,4,0.14583317490664172,1.3860133722712684,0.3512738296111385,0,0,2
1,5,0.13900163557033696,1.5025514680741765,0.34705634948547043,0,0,2
1,6,0.13048614307598314,1.6285823817643665,0.34508591143438777,0,0,2
1,7,0.12121755256474427,1.765202046098729,0.3451901543156215,0,0,2
1,8,0.11258816471844245,1.9130681739972182,0.3440144553486145,0,0,2
1,9,0.10428503029591013,2.0,0.3437577250719377,0,0,2
1,10,0.09999375765224915,2.0,0.3427134535296468,0,0,2
1,11,0.10070724458316628,2.0,0.34023303294124563,0,0,2
1,12,0.10116525089858419,2.0,0.3384212597398227,0,0,2
1,13,0.10152315030608619,2.0,0.3366293752841706,0,0,2
1,14,0.10192410134548319,2.0,0.3341661043649823,0,0,2
1,15,0.10233267424623312,2.0,0.33121807701171485,0,0,2
1,16,0.10277212077019561,2.0,0.328415089624509,0,0,2
1,17,0.10322388764644158,2.0,0.32529009698373496,0,0,2
1,18,0.10368376511400007,2.0,0.32241110457570843,0,0,2
1,19,0.10402464779931123,2.0,0.3202533236658162,0,0,2
2,1,0.18640218733711383,1.0856897027173464,0.36260938669301523,0,0,2
2,2,0.1700988621747786,1.1783871696801445,0.35962740404972565,0,0,2
2,3,0.1558412214438379,1.279487208149568,0.3636294780575266,0,0,2
2,4,0.14539965220906328,1.388179902131979,0.35546042732010874,0,0,2
2,5,0.13915219793711356,1.5045675507123584,0.34473714333108646,0,0,2
2,6,0.13175701718702995,1.6298243050697794,0.3390153673152845,0,0,2
2,7,0.1234665240239424,1.7649636132722715,0.33577487649469123,0,0,2
2,8,0.11557082868548,1.9108547907453686,0.3332856161492663,0,0,2
2,9,0.10774808065264271,2.0,0.33203279628060295,0,0,2
2,10,0.10405644482260328,2.0,0.32827783396599886,0,0,2
2,11,0.10543463603424176,2.0,0.32274733438836567,0,0,2
2,12,0.10639055031962345,2.0,0.31932608292078957,0,0,2
2,13,0.10700084002843087,2.0,0.3167838922589463,0,0,2
2,14,0.10743024371473284,2.0,0.31515662947056483,0,0,2
2,15,0.10769981015763663,2.0,0.31361383967775236,0,0,2
2,16,0.10797782897595774,2.0,0.312235796853409,0,0,2
2,17,0.10817868703794703,2.0,0.3108984429200334,0,0,2
2,18,0.10837284123196604,2.0,0.3095565820562987,0,0,2
2,19,0.10855540250368341,2.0,0.308234533717669,0,0,2
3,1,0.1862388661022079,1.0855573955318814,0.36133069781648774,0,0,2
3,2,0.17190040687446298,1.1790719666342286,0.3670015793103165,0,0,2
3,3,0.15969602715981224,1.2824774386903826,0.3820258898015926,0,0,2
3,4,0.1503590840564154,1.3949210626624895,0.3817958553448649,0,0,2
3,5,0.143934913431857,1.5157513174091315,0.37161106525379434,0,0,2
3,6,0.13637142495887625,1.6461543629026403,0.3659163536616732,0,0,2
3,7,0.128125348660685,1.787730385083458,0.36564725542606513,0,0,2
3,8,0.11946012142831229,1.9419883692350945,0.3683805540494601,0,0,2
3,9,0.11062354584350699,2.0,0.3715546822178446,0,0,2
3,10,0.1079549402970052,2.0,0.37092488924506806,0,0,2
3,11,0.10825303993282975,2.0,0.36884818380069906,0,0,2
